STT,DistrictName,ProvinceName,Category,Population,Area,Density
440,Phú Bình,Thái Nguyên,,13415,246,546
444,Phú Lương,Thái Nguyên,,106681 (12/2013)[30],3689465,289
514,Sông Công,Thái Nguyên,thành phố,109409,109,1
568,Thái Nguyên,Thái Nguyên,thành phố,306842,171,1798
681,Võ Nhai,Thái Nguyên,,64241,844,76
21,Bá Thước,Thanh Hóa,,9636,777,124
51,Bỉm Sơn,Thanh Hóa,thị xã,59747 [12],67,893
96,Cẩm Thủy,Thanh Hóa,,111999 (10/2009)[22],424,264
191,Đông Sơn,Thanh Hóa,,74217*,82,901
233,Hà Trung,Thanh Hóa,,108049,245,442
248,Hậu Lộc,Thanh Hóa,,165742,144,1153
265,Hoằng Hóa,Thanh Hóa,,250534[22],225,1114
325,Lang Chánh,Thanh Hóa,,45346,587,77
377,Mường Lát,Thanh Hóa,,33182,809,41
400,Nga Sơn,Thanh Hóa,,135832,158,858
412,Ngọc Lặc,Thanh Hóa,,132870 (10/2009)[22],4852815,274
420,Như Thanh,Thanh Hóa,,84763,567,149
421,Như Xuân,Thanh Hóa,,64319,717,90
429,Nông Cống,Thanh Hóa,,182898,287,638
470,Quan Hóa,Thanh Hóa,,43789,997,44
471,Quan Sơn,Thanh Hóa,,35435,944,38
481,Quảng Xương,Thanh Hóa,,227971,171,1333
508,Sầm Sơn,Thanh Hóa,thành phố,60913 (12/2009)[12],45,1354
564,Thạch Thành,Thanh Hóa,,136221,559,244
575,Thanh Hóa,Thanh Hóa,thành phố,350035[79],1467707,268
589,Thiệu Hóa,Thanh Hóa,,152782,161,951
590,Thọ Xuân,Thanh Hóa,,233752 (10/2009)[22],295885,790
606,Thường Xuân,Thanh Hóa,,83218,1113,75
614,Tĩnh Gia,Thanh Hóa,,214665,458,468
629,Triệu Sơn,Thanh Hóa,,195566,292,669
674,Vĩnh Lộc,Thanh Hóa,,80348,158,508
696,Yên Định,Thanh Hóa,,171235 (10/2009)[22],2278309,752
1,A Lưới,Thừa Thiên Huế,,47115,1233,34
275,Huế,Thừa Thiên Huế,thành phố,339822 (3/2010)[41],71,4787
281,Hương Thủy,Thừa Thiên Huế,thị xã,96525 (2/2010)[43],4581749,211
282,Hương Trà,Thừa Thiên Huế,thị xã,118354 (11/2011)[44],518534,228
391,Nam Đông,Thừa Thiên Huế,,22566,652,35
436,Phong Điền,Thừa Thiên Huế,,8809,956,92
443,Phú Lộc,Thừa Thiên Huế,,134322,730,184
455,Phú Vang,Thừa Thiên Huế,,171231 (5/2011)[65],280,611
474,Quảng Điền,Thừa Thiên Huế,,82811,163,514
74,Cai Lậy,Tiền Giang,,186583 (12/2013)[17],256,729
75,Cai Lậy,Tiền Giang,thị xã,123775 (12/2013)[17],140,883
76,Cái Bè,Tiền Giang,,186583 (12/2013)[17],256,729
115,Châu Thành,Tiền Giang,,259408,230,1128
122,Chợ Gạo,Tiền Giang,,182177,229,794
222,Gò Công,Tiền Giang,thị xã,94367,102,925
223,Gò Công Đông,Tiền Giang,,143418 (9/2010)[38],2676816,536
224,Gò Công Tây,Tiền Giang,,124889,180,693
384,Mỹ Tho,Tiền Giang,thành phố,181367,82,2225
549,Tân Phú Đông,Tiền Giang,,4043,202,200
550,Tân Phước,Tiền Giang,,56417,333,169
83,Càng Long,Trà Vinh,,143389,300,477
102,Cầu Kè,Trà Vinh,,109592,244,450
103,Cầu Ngang,Trà Vinh,,130608,319,409
116,Châu Thành,Trà Vinh,,136786,335,408
150,Duyên Hải,Trà Vinh,thị xã,56,177,316
151,Duyên Hải,Trà Vinh,,835,300,278
613,Tiểu Cần,Trà Vinh,,109122,221,495
617,Trà Cú,Trà Vinh,,176721,370,478
619,Trà Vinh,Trà Vinh,thành phố,131360 (3/2010)[80],680350,1931
120,Chiêm Hóa,Tuyên Quang,,124337 (1/2011),1280.4[25],97
247,Hàm Yên,Tuyên Quang,,109739,901,122
330,Lâm Bình,Tuyên Quang,,29459 (1/2011),781.5217[25],38
387,Na Hang,Tuyên Quang,,41868 (1/2011)[25],865.4969 [25],48
520,Sơn Dương,Tuyên Quang,,171694,789,218
642,Tuyên Quang,Tuyên Quang,thành phố,191118,184,1037
704,Yên Sơn,Tuyên Quang,,14539,1068,136
59,Bình Minh,Vĩnh Long,thị xã,95282 (12/2012)[15],94,1018
62,Bình Tân,Vĩnh Long,,93142,153,609
340,Long Hồ,Vĩnh Long,,160537,193,831
359,Mang Thít,Vĩnh Long,,99201,160,620
528,Tam Bình,Vĩnh Long,,153805,280,549
618,Trà Ôn,Vĩnh Long,,134787,259,520
673,Vĩnh Long,Vĩnh Long,thành phố,136594,48,2846
685,Vũng Liêm,Vĩnh Long,,159183,294,541
65,Bình Xuyên,Vĩnh Phúc,,108246,145,746
334,Lập Thạch,Vĩnh Phúc,,118646,173,685
464,Phúc Yên,Vĩnh Phúc,thành phố,9179,120,763
516,Sông Lô,Vĩnh Phúc,,88616,150,590
529,Tam Dương,Vĩnh Phúc,,94692,107,884
530,Tam Đảo,Vĩnh Phúc,,69084,236,292
679,Vĩnh Tường,Vĩnh Phúc,,198942 (9/2009)[84],1418202,1403
680,Vĩnh Yên,Vĩnh Phúc,thành phố,94294,51,1856
698,Yên Lạc,Vĩnh Phúc,,14524,107,1361
352,Lục Yên,Yên Bái,,102946,809,127
372,Mù Cang Chải,Yên Bái,,49255,1202,41
409,Nghĩa Lộ,Yên Bái,thị xã,68206,108,633
620,Trạm Tấu,Yên Bái,,26704,746,36
624,Trấn Yên,Yên Bái,,79397,629,126
653,Văn Chấn,Yên Bái,,144152,1211,119
658,Văn Yên,Yên Bái,,116,1392,83
692,Yên Bái,Yên Bái,thành phố,95361 (12/2013)[85],1067419,893
693,Yên Bình,Yên Bái,,103776,773,134
